"","rank","song","singer","music_director","lyricist","movie","actors","year"
"355",10,"Badatamiz Kaho Yaa Kaho Jaanavar Meraa Dil Tere Dil Pe ","MohammedRafi","Shankar Jaikishan","Hasrat Jaipuri","Budtameez","Laxmi Chhaya, Shammi Kapoor, Sadhana",1966
"356",11,"Dil Ne Phir Yaad Kiya Bark Si Lahrayi Hai ","MohammedRafi,Mukesh,SumanKalyanpur","Sonik Omi","G S Rawal","Dil Ne Phir Yaad Kiya","Nutan, Dharmendra, Rehman",1966
"357",12,"Badal Jaaye Agar Maali, Bahaaren Phir Bhi Aayengi ","MahendraKapoor","O P Nayyar","Kaifi Azmi","Baharen Phir Bhi Aayengi","Johnny Walker, Dharmendra",1966
"358",13,"Chhu Lene Do Nazuk Hoton Ko ","MohammedRafi","Ravi","Sahir Ludhianvi","Kaajal","Meena Kumari, Raaj Kumar",1966
"359",14,"Ye Aajkal Ke Ladke Likhte Na Padte Hai ","UshaMangeshkar","Laxmikant Pyarelal","Majrooh Sultanpuri","Dillagi","Sanjay Khan, Mala Sinha",1966
"360",15,"Shishe Se Pi Yaa Paimaane Se Pi ","AshaBhosle","Ravi","Shakeel Badayuni","Phool Aur Patthar","Shashikala, Meena Kumari, Dharmendra",1966
"361",16,"Tu Jaha Jaha Chalega, Mera Saya, Sath Hoga ","LataMangeshkar","Madan Mohan","Raja Mehdi Ali Khan","Mera Saaya","Sadhana, Sunil Dutt",1966
"362",18,"Saayonaaraa Waadaa Nibhaaungi ","LataMangeshkar","Shankar Jaikishan","Hasrat Jaipuri","Love In Tokyo","Asha Parekh, Joy Mukherjee, Mehmood",1966
"363",19,"Meraa Pyaar Woh Hain Ke Mar Kar Bhee Tumko ","MahendraKapoor","O P Nayyar","S H Bihari","Yeh Raat Phir Na Ayegi","Sharmila Tagore, Biswajeet",1966
"364",20,"Paayal Ki Jhankaar Raste Raste ","LataMangeshkar","Laxmikant Pyarelal","Majrooh Sultanpuri","Mere Lal","Dev Kumar, Indrani Mukherjee, Jagdev",1966
"365",21,"Titli Udi, Ud Jo Chali, Phool Ne Kaha, Aaja Mere Paas ","Sharda","Shankar Jaikishan","Shailendra","Suraj","Mumtaz, Vyjayantimala",1966
"366",22,"Nainon Vaali Ne, Haay Meraa Dil Luta ","AshaBhosle","Madan Mohan","Raja Mehdi Ali Khan","Mera Saaya","Sunil Dutt, Sadhana",1966
"367",23,"Kaajal Vaale Nain Milaa Ke Kar, Are Re Re Lut Liyaa Re ","MohammedRafi","Roshan","Anand Bakshi","Devar","Dharmendra, Deven Verma",1966
"368",24,"Gore Haatho Par Naa Julm Karo ","MohammedRafi","Laxmikant Pyarelal","Rajinder Krishan","Pyar Kiye Ja","Shashi Kapoor",1966
"369",25,"Vahaan Kaun Hai Teraa Musaafir Jaayegaa Kahaan ","SachinDevBurman","Sachin Dev Burman","Shailendra","Guide","Waheeda Rehman, Dev Anand",1966
"370",26,"Din Jawani Ke Char Yaar, Pyar Kiye Ja ","KishoreKumar","Laxmikant Pyarelal","Rajinder Krishan","Pyar Kiye Ja","Kishore Kumar, Kalpana",1966
"371",27,"Dilarubaa Maine Tere Pyaar Men, Dil Diyaa Dard Liyaa ","MohammedRafi","Naushad","Shakeel Badayuni","Dil Diya Dard Liya","Waheeda Rehman, Pran, Dilip Kumar",1966
"372",28,"Akele Hai Chale Aao Jaha Ho ","MohammedRafi","Kalyanji Anandji","Shamim Jaipuri","Raaz","Rajesh Khanna",1966
"373",29,"Chalke Teri Aankho Se Sharab Aur Jyada ","MohammedRafi","Shankar Jaikishan","Hasrat Jaipuri","Arzoo","Sadhana, Rajendra Kumar",1966
"374",30,"Rahen Na Rahen Hum, Mahka Karenge Ban Ke Kali ","LataMangeshkar","Roshan","Majrooh Sultanpuri","Mamta","Suchitra Sen, Ashok Kumar",1966
"375",31,"Bahaaron Ne Meraa Chaman Lutakar ","Mukesh","Roshan","Anand Bakshi","Devar","Deven Verma, Dharmendra, Sharmila Tagore",1966
"376",32,"Guzare Hain Aaj Ishq Men Ham Us Maqaam Se ","MohammedRafi","Naushad","Shakeel Badayuni","Dil Diya Dard Liya","Dilip Kumar, Waheeda Rehman",1966
"377",1,"Sawan Ka Mahina, Pawan Kare Sor ","LataMangeshkar,Mukesh","Laxmikant Pyarelal","Anand Bakshi","Milan","Nutan, Sunil Dutt",1967
"378",2,"O Mere Sona Re Sona Re Sona Re ","AshaBhosle","R D Burman","Majrooh Sultanpuri","Teesri Manzil","Shammi Kapoor, Asha Parekh",1967
"379",3,"Bahaaron Meraa Jivan Bhi Savaaron Bahaaron ","LataMangeshkar","Khayyam","Kaifi Azmi","Aakhri Khat","Indrani Mukherjee, Rajesh Khanna",1967
"380",4,"Deewana Mujhko Log Kahen ","Mukesh","Shankar Jaikishan","Hasrat Jaipuri","Diwana","Raj Kapoor, Saira Banu",1967
"381",5,"Dheere Dheere Machal Aye ","LataMangeshkar","Hemant Kumar","Kaifi Azmi","Anupama","Surekha, Tarun Bose",1967
"382",6,"Hum Tum Yug Yug Se ","Mukesh","Laxmikant Pyarelal","Anand Bakshi","Milan","Nutan, Sunil Dutt",1967
"383",7,"Kaise Karu Prem Ki Mai Baat (Pichhwade Buddha Khasta) ","LataMangeshkar","Laxmikant Pyarelal","Raja Mehdi Ali Khan","Anita","Sadhana",1967
"384",8,"Garibo Ki Suno Wo Tumhari Sunega ","MohammedRafi,AshaBhosle","Ravi","Prem Dhawan","Dus Lakh","Babita, Sanjay Khan",1967
"385",9,"Duniyaa Ki Sair Kar Lo, Around The World In Eight Dollars ","Mukesh,Sharda","Shankar Jaikishan","Shailendra","Around The World","Raj Kapoor, Rajshree, Ameeta, Pran",1967
"386",10,"Aaja Piya Tohe Pyar Du, Gori Baiya Tope Vaar Du ","LataMangeshkar","R D Burman","Majrooh Sultanpuri","Baharon Ke Sapne","Rajesh Khanna, Asha Parekh",1967
"387",11,"Ehsan Mere Dil Pe Tumhara Hai Dosto ","MohammedRafi","Shankar Jaikishan","Hasrat Jaipuri","Gaban","Sunil Dutt",1967
"388",12,"Aaj Ki Raat Ye Kaisi Raat Ke Humko Nind Nahi Aati ","MohammedRafi,SairaBanu","Shankar Jaikishan","Shailendra","Aman","Saira Banu, Rajendra Kumar",1967
"389",13,"Mere Dushman Tu Meri Dosti Ko Tarse ","MohammedRafi","Laxmikant Pyarelal","Anand Bakshi","Aaye Din Bahaar Ke","Asha Parekh, Dharmendra",1967
"390",14,"Choti Si Mulakat Pyar Ban Gayi ","MohammedRafi","Shankar Jaikishan","Hasrat Jaipuri","Chhoti Si Mulaqat","Vyjayantimala, Uttam Kumar",1967
"391",15,"O Hasinaa Zulfon Vaali Jaan E Jahaan ","MohammedRafi,AshaBhosle","R D Burman","Majrooh Sultanpuri","Teesri Manzil","Asha Parekh, Shammi Kapoor",1967
"392",16,"Dhani Chunri Pahan Sajke Banke Dulhan, Hare Kaanch Ki Chudiya ","AshaBhosle","Shankar Jaikishan","Shailendra","Hare Kanch Ki Chooriyan","Biswajeet, Naina Sahu",1967
"393",17,"Mubarak Ho Sab Ko Sama Ye Suhana, Mai Khush Hu Mere Aansuo Pe Na Jana ","Mukesh","Laxmikant Pyarelal","Anand Bakshi","Milan","Nutan, Sunil Dutt",1967
"394",17,"Ham Intazaar Karenge, Tera Qayamat Tak (Duet) ","AshaBhosle,MohammedRafi","Roshan","Majrooh Sultanpuri","Bahu Begum","Meena Kumari, Pradeep Kumar, Naaz",1967
"395",18,"Meri Aavaaz Suno, Pyaar Ke Raaz Suno ","MohammedRafi","Madan Mohan","Kaifi Azmi","Naunihal","",1967
"396",19,"Kaliyon Ne Ghunghat Khole ","MohammedRafi","Sonik Omi","G S Rawal","Dil Ne Phir Yaad Kiya","Dharmendra, Jeevan, Nutan, Rehman",1967
"397",20,"Aankh Milaye Na Muskuraye Na ","MohammedRafi","Laxmikant Pyarelal","Anand Bakshi","Milan Ki Raat","Sharmila Tagore, Sanjay Khan",1967
"398",21,"Aaja Aaja Mai Hu Pyaar Tera ","AshaBhosle,MohammedRafi","R D Burman","Majrooh Sultanpuri","Teesri Manzil","Shammi Kapoor, Asha Parekh",1967
"399",22,"Mai Dekho Jis Or Sakhi Ri ","LataMangeshkar","Laxmikant Pyarelal","Raja Mehdi Ali Khan","Anita","Manoj Kumar, Sadhana",1967
"400",23,"Ma Mujhe Apne Aanchal Me Chipa Ley ","LataMangeshkar","Laxmikant Pyarelal","Anand Bakshi","Chhota Bhai","",1967
"401",24,"Aa Lag Ja Gale Dilruba ","MohammedRafi","Ravi","Prem Dhawan","Dus Lakh","Babita, Sanjay Khan",1967
"402",25,"Mere Desh Ki Dharati, Sonaa Ugale Ugale Hire Moti ","MahendraKapoor","Kalyanji Anandji","Gulshan Bawra","Upkar","Manoj Kumar",1967
"403",26,"Hurre Pyaar Mohabbat Ke Sivaa Ye Zindagi Kyaa Zindagi ","AshaBhosle,MohammedRafi","Shankar Jaikishan","Hasrat Jaipuri","Pyar Mohabbat","Dev Anand, Saira Banu, Shashikala",1967
"404",27,"Aayega Aayega Ek Chhail Chhabila Aayega, Ek Din Jo Meri Chhoti Si Gudiya Ko Le Jayega ","MohammedRafi","Ravi","Rajinder Krishan","Meharban","Sunil Dutt",1967
"405",28,"Ram Kare Kahi Naina Na Uljhe (Meri Taqdir Kaha Par Mujhe Le Aayi Hai) ","LataMangeshkar","Shankar Jaikishan","Hasrat Jaipuri","Gunahon Ka Devta","Jeetendra, Rajshree",1967
"406",29,"Aji Aisa Mauka Phir Kaha Milega ","MohammedRafi","Shankar Jaikishan","Hasrat Jaipuri","An Evening In Paris","Sharmila Tagore, Shammi Kapoor",1967
"407",30,"Chaha Tha Banu Pyar Ki Raho Ka Devta ","Mukesh","Shankar Jaikishan","Shailendra","Gunahon Ka Devta","Jeetendra",1967
"408",32,"Ye Kali Jab Talak Phool Ban Ke Khile ","LataMangeshkar,MahendraKapoor","Laxmikant Pyarelal","Anand Bakshi","Aaye Din Bahaar Ke","Dharmendra, Asha Parekh",1967
"409",1,"Dil Wil Pyar Vyar Main Kya Jaanu Re ","LataMangeshkar","Laxmikant Pyarelal","Majrooh Sultanpuri","Shagird","Saira Banu, Joy Mukherjee",1968
"410",2,"Mere Samne wali Khidki Mein Ek Chand Ka ","KishoreKumar","R D Burman","Rajinder Krishan","Padosan","Kishore Kumar, Saira Banu, Sunil Dutt",1968
"411",3,"Hey, Nile Gagan Ke Tale, Dharti Ka Pyar Pale ","MahendraKapoor","Ravi","Sahir Ludhianvi","Hamraaz","Vimi, Raaj Kumar",1968
"412",4,"Aajkal Tere Mere Pyaar Ke Charche Har Zabaan Par ","SumanKalyanpur,MohammedRafi","Shankar Jaikishan","Hasrat Jaipuri","Brahmchari","Pran, Shammi Kapoor, Mumtaz",1968
"413",5,"Chandan Sa Badan Chanchal Chitwan - By Mukesh ","Mukesh","Kalyanji Anandji","Indeevar","Saraswati Chandra","Manish, Nutan",1968
"414",6,"Honthon Men Aisi Baat Main Dabaake Chali Aai ","LataMangeshkar","Sachin Dev Burman","Majrooh Sultanpuri","Jewel Thief","Vyjayantimala, Dev Anand",1968
"415",7,"Aayi Hai Bahare Mite Zulmo Sitam ","MohammedRafi","Naushad","Shakeel Badayuni","Ram Aur Shyam","Mukri, Nirupa Roy, Kanhaiya Lal, Dilip Kumar, Baby Farida",1968
"416",8,"Milati Hai Zindagi Men Mohabbat Kabhi Kabhi ","LataMangeshkar","Ravi","Sahir Ludhianvi","Ankhen","Dharmendra, Mala Sinha",1968
"417",9,"Parde Me Rahne Do Parda Na Uthaao ","AshaBhosle","Shankar Jaikishan","Hasrat Jaipuri","Shikar","Asha Parekh, Dharmendra, Johnny Walker, Rehman, Sanjeev Kumar",1968
"418",10,"Bata Du Kya Lana Tum Laut Ke Aa Jana ","LataMangeshkar","Laxmikant Pyarelal","Majrooh Sultanpuri","Patthar Ke Sanam","Waheeda Rehman, Manoj Kumar",1968
"419",11,"Aasmaan Se Aayaa Farishta ","MohammedRafi","Shankar Jaikishan","Hasrat Jaipuri","An Evening In Paris","Shammi Kapoor, Sharmila Tagore",1968
"420",12,"Hamane Jo Dekhe Sapane, Sach Ho Gae Vo Apane ","LataMangeshkar,MahendraKapoor","Kalyanji Anandji","Gulshan Bawra","Parivar","Nanda, Jeetendra",1968
"421",13,"Unase Mili Nazar Ke Mere Hosh Ud Gaye ","LataMangeshkar","Shankar Jaikishan","Hasrat Jaipuri","Jhuk Gaya Aasman","Rajendra Kumar, Saira Banu",1968
"422",14,"Chalo Sajana Jaha Tak Ghata Chale ","LataMangeshkar","Laxmikant Pyarelal","Majrooh Sultanpuri","Mere Hamdam Mere Dost","Dharmendra, Sharmila Tagore",1968
"423",15,"Tumharee Najar Kyon Khafa Ho Gayee ","LataMangeshkar,MohammedRafi","Ravi","Sahir Ludhianvi","Do Kaliyan","",1968
"424",16,"Mera Naam Hai Chameli, Main Hu Malan Abeli ","LataMangeshkar","Laxmikant Pyarelal","Anand Bakshi","Raja Aur Rank","Kumkum",1968
"425",17,"Yeh Dil Na Hota Bechara ","KishoreKumar","Sachin Dev Burman","Majrooh Sultanpuri","Jewel Thief","Dev Anand, Vyjayantimala",1968
"426",18,"Kahan Chal Diye, Idhar Toh Aao ","MohammedRafi","Shankar Jaikishan","Hasrat Jaipuri","Jhuk Gaya Aasman","",1968
"427",19,"Tum Agar Sath Dene Kaa Vada Karo ","MahendraKapoor","Ravi","Sahir Ludhianvi","Hamraaz","Vimi, Sunil Dutt",1968
"428",20,"Mehboob Mere, Mehboob Mere, Tu Hai To Duniya Kitni Hasi Hai ","Mukesh,LataMangeshkar","Laxmikant Pyarelal","Majrooh Sultanpuri","Patthar Ke Sanam","Manoj Kumar, Waheeda Rehman",1968
"429",21,"Bachche Man Ke Sachche ","LataMangeshkar","Ravi","Sahir Ludhianvi","Do Kaliyan","Mala Sinha, Biswajeet, Baby Neetu Singh",1968
"430",22,"Bade Miya Diwane Aise Na Bano ","MohammedRafi","Laxmikant Pyarelal","Majrooh Sultanpuri","Shagird","I S Johar, Joy Mukherjee",1968
"431",23,"Babul Kee Duwaye Letee Ja ","MohammedRafi","Ravi","Sahir Ludhianvi","Neel Kamal","Balraj Sahni, Manoj Kumar, Waheeda Rehman",1968
"432",24,"Chhalkayen Jaam Aaiye Aapki Aankhon Ke ","MohammedRafi","Laxmikant Pyarelal","Majrooh Sultanpuri","Mere Hamdam Mere Dost","Sharmila Tagore, Dharmendra",1968
"433",25,"Sawere Waali Gaadi Se Chale Jaayenge ","MohammedRafi","Shankar Jaikishan","Shailendra","Laat Saab","Nutan, Rajendra Nath, Shammi Kapoor",1968
"434",26,"Main Chali Main Chali, Dekho Pyaar Ki Gali ","AshaBhosle,LataMangeshkar","R D Burman","Rajinder Krishan","Padosan","Sunil Dutt, Saira Banu, Mehmood, Kishore Kumar",1968
"435",27,"Chale The Saath Milke ","MohammedRafi","Kalyanji Anandji","Akhtar Romani","Haseena Maan Jayegi","Shashi Kapoor",1968
"436",28,"Kasmen Wade Pyar Wafa Sab Baaten Hain ","MannaDey","Kalyanji Anandji","Indeevar","Upkar","Manoj Kumar, Pran",1968
"437",29,"Dil Ke Jharokhe Men Tujhako Bithaakar ","MohammedRafi","Shankar Jaikishan","Hasrat Jaipuri","Brahmchari","Rajshree, Shammi Kapoor, Pran",1968
"438",30,"Ye Raat Jaise Dulhan Ban Gayi, Aaj Ki Raat Mere Dil Ki Salami Le Le ","MohammedRafi","Naushad","Shakeel Badayuni","Ram Aur Shyam","Waheeda Rehman, Dilip Kumar, Baby Farida, Nasir Hussain, Pran, Nirupa Roy",1968
"439",32,"Mast Baharo Kaa Mai Ashik ","MohammedRafi","Laxmikant Pyarelal","Anand Bakshi","Farz","Jeetendra, Babita",1968
"440",1,"Kaise Rahoon Chup Ki Meine Pee Hi Kya Hai ","LataMangeshkar","Laxmikant Pyarelal","Rajinder Krishan","Intaqam","Sanjay Khan, Sadhana, Ashok Kumar, Helen",1969
"441",2,"Oh Re Taal Mile Nadi Ke Jal Men ","Mukesh","Roshan","Indeevar","Anokhi Raat","Zaheeda, Sanjeev Kumar",1969
"442",3,"Parai Hu Parai Meri Aarzu Na Kar ","LataMangeshkar","Shankar Jaikishan","Hasrat Jaipuri","Kanyadan","Shashi Kapoor, Asha Parekh",1969
"443",4,"Chal Akelaa, Chal Akelaa, Chal Akelaa ","Mukesh","O P Nayyar","Kavi Pradeep","Sambandh","Anjana Mumtaz, Deb Mukherjee, Pradeep Kumar",1969
"444",5,"Mere Paas Aao Nazar To Milao ","LataMangeshkar","Naushad","Shakeel Badayuni","Sunghursh","Vyjayantimala, Dilip Kumar",1969
"445",6,"Aa Mere Hamjolee Aa Khele Aankh Michaulee Aa ","LataMangeshkar,MohammedRafi","Laxmikant Pyarelal","Anand Bakshi","Jeene Ki Raah","Jeetendra, Tanuja",1969
"446",7,"Chandi Ki Divar Na Todi, Pyar Bhara Dil Tod Diya ","Mukesh","Kalyanji Anandji","Gulshan Bawra","Vishwas","Aparna Sen, Jeetendra, Kamini Kaushal, Manmohan",1969
"447",8,"Likhe Jo Khat Tujhe Vo Teri Yaad Men ","MohammedRafi","Shankar Jaikishan","Neeraj","Kanyadan","Shashi Kapoor, Asha Parekh",1969
"448",9,"Je Ham Tum Chori Se Bandhe Ek Dori Se ","LataMangeshkar,Mukesh","Laxmikant Pyarelal","Majrooh Sultanpuri","Dharti Kahe Pukar Ke","Sanjeev Kumar, Nivedita, Nanda, Jeetendra",1969
"449",10,"Yeh Parda Hata Do, Zara Mukhda Dikha Do ","MohammedRafi,AshaBhosle","Ravi","Prem Dhawan","Ek Phool Do Mali","Sanjay Khan, Sadhana",1969
"450",11,"Badan Pe Sitaare Lapate Huye ","MohammedRafi","Shankar Jaikishan","Hasrat Jaipuri","Prince","Shammi Kapoor, Vyjayantimala",1969
"451",12,"Ek Tera Saath Humko Do Jahan Se Pyara Hai ","LataMangeshkar,MohammedRafi","Laxmikant Pyarelal","Majrooh Sultanpuri","Wapas","",1969
"452",13,"Kajaraa Muhabbat Vaalaa, Ankhiyon Men Aisaa Daalaa ","AshaBhosle,ShamshadBegum","O P Nayyar","S H Bihari","Kismat","Biswajeet, Babita",1969
"453",14,"Mere Sapanon Ki Rani Kab Aayegi Tu ","KishoreKumar","Sachin Dev Burman","Anand Bakshi","Aradhana","Rajesh Khanna, Sharmila Tagore, Sujit Kumar",1969
"454",15,"O Ni Sultaana Re Pyaar Ka Mausam Aaya ","LataMangeshkar,MohammedRafi","R D Burman","Majrooh Sultanpuri","Pyar Ka Mausam","Shashi Kapoor, Asha Parekh",1969
"455",17,"Tum Bin Jaaun Kahaan - By Mohd. Rafi ","MohammedRafi","R D Burman","Majrooh Sultanpuri","Pyar Ka Mausam","Shashi Kapoor, Asha Parekh",1969
"456",17,"Tum Bin Jaoon Kahan - By Kishore Kumar ","KishoreKumar","R D Burman","Majrooh Sultanpuri","Pyar Ka Mausam","Nirupa Roy, Bharat Bhushan",1969
"457",18,"Aane Se Uske Aaye Bahar ","MohammedRafi","Laxmikant Pyarelal","Anand Bakshi","Jeene Ki Raah","Jeetendra",1969
"458",19,"Badraa Chhaaye, Ki Aaya Saavan Ho Jhum Ke ","LataMangeshkar,MohammedRafi","Laxmikant Pyarelal","Anand Bakshi","Aya Sawan Jhoom Ke","Dharmendra, Aruna Irani, Asha Parekh",1969
"459",20,"Hayyaa O Gangaa Mayyaa, Gangaa Mayyaa Men Jab Tak Ke Paani Rahe ","LataMangeshkar","Kalyanji Anandji","Indeevar","Suhaag Raat","Sulochana, Rajshree, Jeetendra, Dhumal",1969
"460",21,"Mera Pyar Bhi Tu Hai Ye Bahar Bhi Tu Hai - II ","Mukesh,SumanKalyanpur","Naushad","Majrooh Sultanpuri","Saathi","Rajendra Kumar, Vyjayantimala",1969
"461",22,"Ruk Ja Zara Kidhar Ko Chala ","LataMangeshkar","Laxmikant Pyarelal","Sahir Ludhianvi","Izzat","Jayalalitha, Dharmendra",1969
"462",23,"Resham Ki Dori Ho Kahaan Jaiho ","LataMangeshkar,MohammedRafi","Laxmikant Pyarelal","Anand Bakshi","Sajan","Asha Parekh, Manoj Kumar, Om Prakash",1969
"463",24,"Dil Ki Aavaaz Bhi Sun Mere Fasaane Pe Na Jaa ","MohammedRafi","O P Nayyar","Shevan Rizvi","Humsaya","Joy Mukherjee, Mala Sinha, Sharmila Tagore",1969
"464",25,"Mehbuba, Mehbuba, Bana Lo Mujhe Dulha ","MohammedRafi,Mehmood","Laxmikant Pyarelal","Rajinder Krishan","Sadhu Aur Shaitaan","Mehmood, Bharti",1969
"465",26,"Jungle Me More Naacha Kisne Dekha ","LataMangeshkar","Shankar Jaikishan","Hasrat Jaipuri","Shatranj","Waheeda Rehman",1969
"466",27,"Kab Tak Huzoor Roothe Rahoge ","LataMangeshkar","Chitragupt","Majrooh Sultanpuri","Aulaad","Babita, Jeetendra",1969
"467",28,"Mere Jivan Sathi, Kali Thi Main To Pyasi ","LataMangeshkar","Naushad","Majrooh Sultanpuri","Saathi","Vyjayantimala, Simi Garewal, Rajendra Kumar",1969
"468",29,"Pyar Huwa Hai Jab Se Mujhko ","KishoreKumar,LataMangeshkar","R D Burman","Majrooh Sultanpuri","Abhilasha","Sanjay Khan, Rehman, Nanda, Meena Kumari",1969
"469",30,"Yakin Kar Lo Mujhe Muhabbat Hai Tumase Tumase ","MohammedRafi","Shankar Jaikishan","Hasrat Jaipuri","Yakeen","David, Dharmendra, Kamini Kaushal, Sharmila Tagore",1969
"470",31,"Haay Bujho, Puchho, Vo Kaun Hai Vo Kaun Hai ","LataMangeshkar,Mukesh","Laxmikant Pyarelal","Anand Bakshi","Anjaana","Rajendra Kumar, Babita",1969
"471",32,"Kora Kagaz Tha Yeh Man Mera ","LataMangeshkar,KishoreKumar","Sachin Dev Burman","Anand Bakshi","Aradhana","Rajesh Khanna, Sharmila Tagore",1969
"472",33,"Sikha Nahin Sabak Tune Pyar Ka ","LataMangeshkar","Shankar Jaikishan","Hasrat Jaipuri","Sapnon Ka Saudagar","Raj Kapoor, Hema Malini",1969
"473",34,"Main To Bhul Chali Baabul Kaa Des ","LataMangeshkar","Kalyanji Anandji","Indeevar","Saraswati Chandra","Manish, Nutan, Ramesh Deo",1969
"474",35,"Ganga Meri Ma Ka Nam, Baap Ka Nam Himala ","MohammedRafi","Shankar Jaikishan","Rajinder Krishan","Tumse Achha Kaun Hai","Shammi Kapoor, Shobha Khote",1969
"475",36,"Thandi Thandi Hawa Me Ji Lalchaye ","LataMangeshkar","Shankar Jaikishan","Hasrat Jaipuri","Prince","Shammi Kapoor, Vyjayantimala, Rajendra Nath",1969
"476",1,"Bindiya Chamke Gi Chudi Khanke Gi ","LataMangeshkar","Laxmikant Pyarelal","Anand Bakshi","Do Raaste","Mumtaz, Rajesh Khanna",1970
"477",2,"Meree Pyaaree Bahaniya Banegee Dulhaniya ","KishoreKumar","Kalyanji Anandji","Indeevar","Sachha Jhutha","Rajesh Khanna",1970
"478",3,"Rangeelaa Re, Tere Rang Mein ","LataMangeshkar","Sachin Dev Burman","Neeraj","Prem Pujari","Dev Anand, Waheeda Rehman",1970
"479",4,"Vo Pari Kahaan Se Laaun (Ganga Ram Ki Samajh Me Na Aaye) ","SumanKalyanpur,Sharda,Mukesh","Shankar Jaikishan","Varma Malik","Pehchan","Manoj Kumar",1970
"480",5,"Khilaunaa Jaan Kar Tum To Meraa Dil Tod Jaate Ho ","MohammedRafi","Laxmikant Pyarelal","Anand Bakshi","Khilona","Mumtaz, Sanjeev Kumar",1970
"481",6,"Iktara Bole Tun Tun, Kya Kahe Ye Tumse, Sun Sun ","MahendraKapoor","Kalyanji Anandji","Varma Malik","Yaadgaar","Nutan, Manoj Kumar",1970
"482",7,"Ye Dil Deewana Hai, Dil To Deewana Hai ","MohammedRafi,LataMangeshkar","Sachin Dev Burman","Anand Bakshi","Ishq Par Zor Nahin","Dharmendra, Sadhana",1970
"483",8,"Sa Re Ga Ma Pa ","LataMangeshkar,KishoreKumar","Laxmikant Pyarelal","Majrooh Sultanpuri","Abhinetri","Shashi Kapoor, Hema Malini",1970
"484",9,"Sharifon Kaa Zamaane Men, Sharaafat Chhod Di Mainne ","LataMangeshkar","Laxmikant Pyarelal","Anand Bakshi","Sharafat","Hema Malini, Dharmendra",1970
"485",10,"Shokhiyo Me Ghola Jaye, Phulo Ka Shabab ","LataMangeshkar,KishoreKumar","Sachin Dev Burman","Neeraj","Prem Pujari","Waheeda Rehman, Dev Anand",1970
"486",11,"Shaadi Ke Liye Rajaamand Kar Li, Rajaamand Kar Li ","MohammedRafi","Laxmikant Pyarelal","Anand Bakshi","Devi","Nutan, Sanjeev Kumar",1970
"487",12,"Chup Gaye Sare Nazare Oye Kya Baat Ho Gayi ","MohammedRafi,LataMangeshkar","Laxmikant Pyarelal","Anand Bakshi","Do Raaste","Mumtaz, Rajesh Khanna",1970
"488",13,"Zindagi Ittafaaq Hai ","AshaBhosle,MahendraKapoor","Ravi","Sahir Ludhianvi","Aadmi Aur Insaan","Ajit, Dharmendra, Feroz Khan, Madan Puri, Mumtaz, Saira Banu",1970
"489",14,"Haay Bujho, Puchho, Vo Kaun Hai Vo Kaun Hai ","LataMangeshkar,Mukesh","Laxmikant Pyarelal","Anand Bakshi","Anjaana","Rajendra Kumar, Babita",1970
"490",15,"Kora Kagaz Tha Yeh Man Mera ","LataMangeshkar,KishoreKumar","Sachin Dev Burman","Anand Bakshi","Aradhana","Rajesh Khanna, Sharmila Tagore",1970
"491",16,"Hai Shukr Ki Tu Hai Ladka ","MohammedRafi","Laxmikant Pyarelal","Anand Bakshi","Himmat","Jeetendra, Mumtaz",1970
"492",17,"Chale Ja Jaha Pyar Mile ","MohammedRafi","Shankar Jaikishan","Hasrat Jaipuri","Jahan Pyar Mile","Shashi Kapoor",1970
"493",18,"Jhilmil Sitaro Ka Aangan Hoga (Duet) ","MohammedRafi,LataMangeshkar","Laxmikant Pyarelal","Anand Bakshi","Jeevan Mrityu","Dharmendra, Rakhee",1970
"494",19,"E Bhai, Zara Dekhke Chalo, Aage Hi Nahi Pichhe Bhi ","MannaDey","Shankar Jaikishan","Neeraj","Mera Naam Joker","Raj Kapoor",1970
"495",20,"Baghon Mein Bahar Hai ","LataMangeshkar,MohammedRafi","Sachin Dev Burman","Anand Bakshi","Aradhana","Rajesh Khanna, Farida Jalal",1970
"496",21,"Zindagi Ka Safar Hai Ye Kaisa ","KishoreKumar","Kalyanji Anandji","Indeevar","Safar","Rajesh Khanna, Sharmila Tagore",1970
"497",22,"Roop Tera Mastana Pyar Mera Diwana ","KishoreKumar","Sachin Dev Burman","Anand Bakshi","Aradhana","Sharmila Tagore, Rajesh Khanna",1970
"498",23,"Khaai Hai Re Hamane Qasam Sang Rahane Ki ","LataMangeshkar","Sachin Dev Burman","Majrooh Sultanpuri","Talash","Rajendra Kumar, Sharmila Tagore",1970
"499",24,"Kaan Men Jhumakaa Chaal Men Thumakaa ","MohammedRafi","Sonik Omi","Varma Malik","Sawan Bhadon","Navin Nischol, Rekha",1970
"500",25,"Duniya Hanse Hansatee Rahe ","MohammedRafi","Naushad","Rajinder Krishan","Ganwaar","Rajendra Kumar",1970
"501",26,"Kehta Hai Joker Saara Jamana ","Mukesh","Shankar Jaikishan","Neeraj","Mera Naam Joker","Raj Kapoor",1970
"502",27,"Munne Ki Amma Ye To Bata  ","Pankaj,KishoreKumar","Shankar Jaikishan","Rajindra Krishan","Tum Haseen Main Jawan","Rajendra Nath, Dharmendra",1970
"503",28,"Hai Re Hai, Neend Nahi Aaye ","MohammedRafi,LataMangeshkar","Laxmikant Pyarelal","Anand Bakshi","Humjoli","Leena Chandavarkar, Jeetendra",1970
